Model,Split,MAE,RMSE,MAPE(%)
Weighted_Ensemble,Test,18.191179503915357,24.95606924673767,1.5183265783681958
LightGBM,Test,19.246410040464774,26.985736529729195,1.6022828240678786
XGBoost,Test,19.78332786141515,27.917226514366384,1.6364412304820113
CatBoost,Test,20.994336019005626,29.370121689369316,1.7422152627628706
Ridge,Test,22.57473957050536,29.41268492753858,1.9179975465052352
LSTM,Test,23.454259872436523,32.2887912446264,1.9909672719487972
Baseline_lag24,Test,73.10414313561682,110.42373058501202,5.9677942950918546
Weighted_Ensemble,Valid,14.33174184902742,21.319303813055615,1.1678922541254715
LightGBM,Valid,14.884012459135986,22.96013232481946,1.2121839975770166
CatBoost,Valid,15.05201541628506,23.064471651032772,1.2236586006383083
XGBoost,Valid,15.192217731367263,23.84216623782994,1.2359148616811908
Ridge,Valid,18.81712273313717,26.551081184215462,1.5422979128070808
LSTM,Valid,18.83329200744629,27.047905138167007,1.5463845863076733
Baseline_lag24,Valid,76.63926316485659,122.73642453314149,6.091866842828873
